"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","France (FR)","Spain (ES)","2658.79"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","Spain (ES)","Portugal (PT)","2366.74"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","France (FR)","Spain (ES)","2502.66"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","Spain (ES)","Portugal (PT)","2289.51"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","France (FR)","Spain (ES)","2547.92"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","Spain (ES)","Portugal (PT)","2820.89"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","France (FR)","Spain (ES)","2325.39"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","Spain (ES)","Portugal (PT)","2720.64"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","France (FR)","Spain (ES)","2529.63"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","Spain (ES)","Portugal (PT)","2788.14"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","France (FR)","Spain (ES)","2519.56"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","Spain (ES)","Portugal (PT)","2818.60"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","France (FR)","Spain (ES)","2432.25"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","Spain (ES)","Portugal (PT)","2817.77"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","France (FR)","Spain (ES)","2480.39"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","Spain (ES)","Portugal (PT)","2892.92"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","France (FR)","Spain (ES)","2668.66"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","Spain (ES)","Portugal (PT)","2908.62"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","France (FR)","Spain (ES)","2685.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","Spain (ES)","Portugal (PT)","2838.47"
