"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 00:00 - 01/01/2023 00:15","CTA|ES","20100.00","20449.00"
"01/01/2023 00:15 - 01/01/2023 00:30","CTA|ES","20064.00","20287.00"
"01/01/2023 00:30 - 01/01/2023 00:45","CTA|ES","19972.00","20129.00"
"01/01/2023 00:45 - 01/01/2023 01:00","CTA|ES","19852.00","19970.00"
"01/01/2023 01:00 - 01/01/2023 01:15","CTA|ES","19624.00","19832.00"
"01/01/2023 01:15 - 01/01/2023 01:30","CTA|ES","19380.00","19655.00"
"01/01/2023 01:30 - 01/01/2023 01:45","CTA|ES","19140.00","19462.00"
"01/01/2023 01:45 - 01/01/2023 02:00","CTA|ES","18860.00","19256.00"
"01/01/2023 02:00 - 01/01/2023 02:15","CTA|ES","18460.00","19058.00"
"01/01/2023 02:15 - 01/01/2023 02:30","CTA|ES","18248.00","18832.00"
"01/01/2023 02:30 - 01/01/2023 02:45","CTA|ES","17980.00","18601.00"
"01/01/2023 02:45 - 01/01/2023 03:00","CTA|ES","17728.00","18367.00"
"01/01/2023 03:00 - 01/01/2023 03:15","CTA|ES","17384.00","18128.00"
"01/01/2023 03:15 - 01/01/2023 03:30","CTA|ES","17168.00","17897.00"
"01/01/2023 03:30 - 01/01/2023 03:45","CTA|ES","16988.00","17672.00"
"01/01/2023 03:45 - 01/01/2023 04:00","CTA|ES","16820.00","17462.00"
"01/01/2023 04:00 - 01/01/2023 04:15","CTA|ES","16704.00","17210.00"
"01/01/2023 04:15 - 01/01/2023 04:30","CTA|ES","16608.00","17058.00"
"01/01/2023 04:30 - 01/01/2023 04:45","CTA|ES","16468.00","16945.00"
"01/01/2023 04:45 - 01/01/2023 05:00","CTA|ES","16344.00","16869.00"
"01/01/2023 05:00 - 01/01/2023 05:15","CTA|ES","16264.00","16775.00"
"01/01/2023 05:15 - 01/01/2023 05:30","CTA|ES","16180.00","16756.00"
"01/01/2023 05:30 - 01/01/2023 05:45","CTA|ES","16136.00","16758.00"
"01/01/2023 05:45 - 01/01/2023 06:00","CTA|ES","16140.00","16783.00"
"01/01/2023 06:00 - 01/01/2023 06:15","CTA|ES","16224.00","16788.00"
"01/01/2023 06:15 - 01/01/2023 06:30","CTA|ES","16220.00","16859.00"
"01/01/2023 06:30 - 01/01/2023 06:45","CTA|ES","16232.00","16953.00"
"01/01/2023 06:45 - 01/01/2023 07:00","CTA|ES","16240.00","17057.00"
"01/01/2023 07:00 - 01/01/2023 07:15","CTA|ES","16404.00","17205.00"
"01/01/2023 07:15 - 01/01/2023 07:30","CTA|ES","16472.00","17282.00"
"01/01/2023 07:30 - 01/01/2023 07:45","CTA|ES","16548.00","17325.00"
"01/01/2023 07:45 - 01/01/2023 08:00","CTA|ES","16624.00","17338.00"
"01/01/2023 08:00 - 01/01/2023 08:15","CTA|ES","16608.00","17348.00"
"01/01/2023 08:15 - 01/01/2023 08:30","CTA|ES","16560.00","17323.00"
"01/01/2023 08:30 - 01/01/2023 08:45","CTA|ES","16456.00","17291.00"
"01/01/2023 08:45 - 01/01/2023 09:00","CTA|ES","16420.00","17269.00"
"01/01/2023 09:00 - 01/01/2023 09:15","CTA|ES","16552.00","17180.00"
"01/01/2023 09:15 - 01/01/2023 09:30","CTA|ES","16748.00","17230.00"
"01/01/2023 09:30 - 01/01/2023 09:45","CTA|ES","16996.00","17337.00"
"01/01/2023 09:45 - 01/01/2023 10:00","CTA|ES","17264.00","17489.00"
"01/01/2023 10:00 - 01/01/2023 10:15","CTA|ES","17664.00","17660.00"
"01/01/2023 10:15 - 01/01/2023 10:30","CTA|ES","18028.00","17850.00"
