"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 00:00 - 01/01/2022 01:00","CTA|ES","21517.00","22339.00"
"01/01/2022 01:00 - 01/01/2022 02:00","CTA|ES","20827.00","21549.00"
"01/01/2022 02:00 - 01/01/2022 03:00","CTA|ES","19530.00","20292.00"
"01/01/2022 03:00 - 01/01/2022 04:00","CTA|ES","18383.00","19484.00"
"01/01/2022 04:00 - 01/01/2022 05:00","CTA|ES","17680.00","18927.00"
"01/01/2022 05:00 - 01/01/2022 06:00","CTA|ES","17396.00","18460.00"
"01/01/2022 06:00 - 01/01/2022 07:00","CTA|ES","17544.00","18460.00"
"01/01/2022 07:00 - 01/01/2022 08:00","CTA|ES","17866.00","18637.00"
"01/01/2022 08:00 - 01/01/2022 09:00","CTA|ES","17806.00","18486.00"
"01/01/2022 09:00 - 01/01/2022 10:00","CTA|ES","18533.00","18918.00"
"01/01/2022 10:00 - 01/01/2022 11:00","CTA|ES","20018.00","19973.00"
"01/01/2022 11:00 - 01/01/2022 12:00","CTA|ES","20989.00","20663.00"
"01/01/2022 12:00 - 01/01/2022 13:00","CTA|ES","21514.00","21525.00"
"01/01/2022 13:00 - 01/01/2022 14:00","CTA|ES","22105.00","22267.00"
"01/01/2022 14:00 - 01/01/2022 15:00","CTA|ES","22384.00","22526.00"
"01/01/2022 15:00 - 01/01/2022 16:00","CTA|ES","21106.00","21414.00"
"01/01/2022 16:00 - 01/01/2022 17:00","CTA|ES","20617.00","20870.00"
"01/01/2022 17:00 - 01/01/2022 18:00","CTA|ES","21096.00","21304.00"
"01/01/2022 18:00 - 01/01/2022 19:00","CTA|ES","23211.00","23283.00"
"01/01/2022 19:00 - 01/01/2022 20:00","CTA|ES","24435.00","24052.00"
"01/01/2022 20:00 - 01/01/2022 21:00","CTA|ES","24964.00","24950.00"
"01/01/2022 21:00 - 01/01/2022 22:00","CTA|ES","25189.00","25546.00"
"01/01/2022 22:00 - 01/01/2022 23:00","CTA|ES","24134.00","24551.00"
"01/01/2022 23:00 - 02/01/2022 00:00","CTA|ES","22552.00","22684.00"
"02/01/2022 00:00 - 02/01/2022 01:00","CTA|ES","21048.00","21104.00"
"02/01/2022 01:00 - 02/01/2022 02:00","CTA|ES","19473.00","19560.00"
"02/01/2022 02:00 - 02/01/2022 03:00","CTA|ES","18375.00","18354.00"
"02/01/2022 03:00 - 02/01/2022 04:00","CTA|ES","17841.00","17632.00"
"02/01/2022 04:00 - 02/01/2022 05:00","CTA|ES","17539.00","17358.00"
"02/01/2022 05:00 - 02/01/2022 06:00","CTA|ES","17684.00","17630.00"
"02/01/2022 06:00 - 02/01/2022 07:00","CTA|ES","18353.00","18286.00"
"02/01/2022 07:00 - 02/01/2022 08:00","CTA|ES","19223.00","19167.00"
"02/01/2022 08:00 - 02/01/2022 09:00","CTA|ES","19936.00","19932.00"
"02/01/2022 09:00 - 02/01/2022 10:00","CTA|ES","21531.00","21667.00"
"02/01/2022 10:00 - 02/01/2022 11:00","CTA|ES","23286.00","23685.00"
"02/01/2022 11:00 - 02/01/2022 12:00","CTA|ES","24126.00","24501.00"
"02/01/2022 12:00 - 02/01/2022 13:00","CTA|ES","24202.00","24589.00"
"02/01/2022 13:00 - 02/01/2022 14:00","CTA|ES","24673.00","25041.00"
"02/01/2022 14:00 - 02/01/2022 15:00","CTA|ES","24921.00","25086.00"
"02/01/2022 15:00 - 02/01/2022 16:00","CTA|ES","23869.00","23957.00"
"02/01/2022 16:00 - 02/01/2022 17:00","CTA|ES","23258.00","23268.00"
"02/01/2022 17:00 - 02/01/2022 18:00","CTA|ES","23642.00","23572.00"
"02/01/2022 18:00 - 02/01/2022 19:00","CTA|ES","25965.00","25614.00"
"02/01/2022 19:00 - 02/01/2022 20:00","CTA|ES","27307.00","26849.00"
"02/01/2022 20:00 - 02/01/2022 21:00","CTA|ES","28243.00","27686.00"
"02/01/2022 21:00 - 02/01/2022 22:00","CTA|ES","28062.00","27774.00"
"02/01/2022 22:00 - 02/01/2022 23:00","CTA|ES","26650.00","26209.00"
"02/01/2022 23:00 - 03/01/2022 00:00","CTA|ES","24535.00","23969.00"
"03/01/2022 00:00 - 03/01/2022 01:00","CTA|ES","22800.00","22997.00"
"03/01/2022 01:00 - 03/01/2022 02:00","CTA|ES","21173.00","21363.00"
"03/01/2022 02:00 - 03/01/2022 03:00","CTA|ES","20153.00","20299.00"
"03/01/2022 03:00 - 03/01/2022 04:00","CTA|ES","19679.00","19870.00"
"03/01/2022 04:00 - 03/01/2022 05:00","CTA|ES","19754.00","19887.00"
"03/01/2022 05:00 - 03/01/2022 06:00","CTA|ES","20516.00","20675.00"
"03/01/2022 06:00 - 03/01/2022 07:00","CTA|ES","22969.00","23166.00"
"03/01/2022 07:00 - 03/01/2022 08:00","CTA|ES","26155.00","26391.00"
"03/01/2022 08:00 - 03/01/2022 09:00","CTA|ES","28546.00","28811.00"
"03/01/2022 09:00 - 03/01/2022 10:00","CTA|ES","30212.00","30420.00"
"03/01/2022 10:00 - 03/01/2022 11:00","CTA|ES","31106.00","31379.00"
"03/01/2022 11:00 - 03/01/2022 12:00","CTA|ES","30788.00","31283.00"
"03/01/2022 12:00 - 03/01/2022 13:00","CTA|ES","30499.00","31227.00"
"03/01/2022 13:00 - 03/01/2022 14:00","CTA|ES","30485.00","31289.00"
"03/01/2022 14:00 - 03/01/2022 15:00","CTA|ES","30083.00","30838.00"
"03/01/2022 15:00 - 03/01/2022 16:00","CTA|ES","29167.00","29932.00"
"03/01/2022 16:00 - 03/01/2022 17:00","CTA|ES","28768.00","29622.00"
"03/01/2022 17:00 - 03/01/2022 18:00","CTA|ES","29274.00","30007.00"
"03/01/2022 18:00 - 03/01/2022 19:00","CTA|ES","31072.00","31603.00"
"03/01/2022 19:00 - 03/01/2022 20:00","CTA|ES","31843.00","32591.00"
"03/01/2022 20:00 - 03/01/2022 21:00","CTA|ES","32306.00","32878.00"
"03/01/2022 21:00 - 03/01/2022 22:00","CTA|ES","31729.00","31984.00"
"03/01/2022 22:00 - 03/01/2022 23:00","CTA|ES","29097.00","29385.00"
"03/01/2022 23:00 - 04/01/2022 00:00","CTA|ES","26455.00","26567.00"
"04/01/2022 00:00 - 04/01/2022 01:00","CTA|ES","24775.00","24713.00"
"04/01/2022 01:00 - 04/01/2022 02:00","CTA|ES","22985.00","23005.00"
"04/01/2022 02:00 - 04/01/2022 03:00","CTA|ES","21880.00","21843.00"
"04/01/2022 03:00 - 04/01/2022 04:00","CTA|ES","21345.00","21309.00"
"04/01/2022 04:00 - 04/01/2022 05:00","CTA|ES","21264.00","21213.00"
"04/01/2022 05:00 - 04/01/2022 06:00","CTA|ES","21935.00","21866.00"
"04/01/2022 06:00 - 04/01/2022 07:00","CTA|ES","24068.00","23926.00"
"04/01/2022 07:00 - 04/01/2022 08:00","CTA|ES","26973.00","26836.00"
"04/01/2022 08:00 - 04/01/2022 09:00","CTA|ES","28993.00","28898.00"
"04/01/2022 09:00 - 04/01/2022 10:00","CTA|ES","30459.00","30404.00"
"04/01/2022 10:00 - 04/01/2022 11:00","CTA|ES","31305.00","31247.00"
