datetime,Area,Actual Total Load (MW),Day-ahead Total Load Forecast (MW)
2022-01-01 00:00:00,,21517.0,22339.0
2022-01-01 01:00:00,,20827.0,21549.0
2022-01-01 02:00:00,,19530.0,20292.0
2022-01-01 03:00:00,,18383.0,19484.0
2022-01-01 04:00:00,,17680.0,18927.0
2022-01-01 05:00:00,,17396.0,18460.0
2022-01-01 06:00:00,,17544.0,18460.0
2022-01-01 07:00:00,,17866.0,18637.0
2022-01-01 08:00:00,,17806.0,18486.0
2022-01-01 09:00:00,,18533.0,18918.0
2022-01-01 10:00:00,,20018.0,19973.0
2022-01-01 11:00:00,,20989.0,20663.0
2022-01-01 12:00:00,,21514.0,21525.0
2022-01-01 13:00:00,,22105.0,22267.0
2022-01-01 14:00:00,,22384.0,22526.0
2022-01-01 15:00:00,,21106.0,21414.0
2022-01-01 16:00:00,,20617.0,20870.0
2022-01-01 17:00:00,,21096.0,21304.0
2022-01-01 18:00:00,,23211.0,23283.0
2022-01-01 19:00:00,,24435.0,24052.0
2022-01-01 20:00:00,,24964.0,24950.0
2022-01-01 21:00:00,,25189.0,25546.0
2022-01-01 22:00:00,,24134.0,24551.0
2022-01-01 23:00:00,,22552.0,22684.0
2022-01-02 00:00:00,,21048.0,21104.0
2022-01-02 01:00:00,,19473.0,19560.0
2022-01-02 02:00:00,,18375.0,18354.0
2022-01-02 03:00:00,,17841.0,17632.0
2022-01-02 04:00:00,,17539.0,17358.0
2022-01-02 05:00:00,,17684.0,17630.0
2022-01-02 06:00:00,,18353.0,18286.0
2022-01-02 07:00:00,,19223.0,19167.0
2022-01-02 08:00:00,,19936.0,19932.0
2022-01-02 09:00:00,,21531.0,21667.0
2022-01-02 10:00:00,,23286.0,23685.0
2022-01-02 11:00:00,,24126.0,24501.0
2022-01-02 12:00:00,,24202.0,24589.0
2022-01-02 13:00:00,,24673.0,25041.0
2022-01-02 14:00:00,,24921.0,25086.0
2022-01-02 15:00:00,,23869.0,23957.0
2022-01-02 16:00:00,,23258.0,23268.0
2022-01-02 17:00:00,,23642.0,23572.0
2022-01-02 18:00:00,,25965.0,25614.0
2022-01-02 19:00:00,,27307.0,26849.0
2022-01-02 20:00:00,,28243.0,27686.0
2022-01-02 21:00:00,,28062.0,27774.0
2022-01-02 22:00:00,,26650.0,26209.0
2022-01-02 23:00:00,,24535.0,23969.0
2022-01-03 00:00:00,,22800.0,22997.0
2022-01-03 01:00:00,,21173.0,21363.0
2022-01-03 02:00:00,,20153.0,20299.0
2022-01-03 03:00:00,,19679.0,19870.0
2022-01-03 04:00:00,,19754.0,19887.0
2022-01-03 05:00:00,,20516.0,20675.0
2022-01-03 06:00:00,,22969.0,23166.0
2022-01-03 07:00:00,,26155.0,26391.0
2022-01-03 08:00:00,,28546.0,28811.0
2022-01-03 09:00:00,,30212.0,30420.0
2022-01-03 10:00:00,,31106.0,31379.0
2022-01-03 11:00:00,,30788.0,31283.0
2022-01-03 12:00:00,,30499.0,31227.0
2022-01-03 13:00:00,,30485.0,31289.0
2022-01-03 14:00:00,,30083.0,30838.0
2022-01-03 15:00:00,,29167.0,29932.0
2022-01-03 16:00:00,,28768.0,29622.0
2022-01-03 17:00:00,,29274.0,30007.0
2022-01-03 18:00:00,,31072.0,31603.0
2022-01-03 19:00:00,,31843.0,32591.0
2022-01-03 20:00:00,,32306.0,32878.0
2022-01-03 21:00:00,,31729.0,31984.0
2022-01-03 22:00:00,,29097.0,29385.0
2022-01-03 23:00:00,,26455.0,26567.0
2022-01-04 00:00:00,,24775.0,24713.0
2022-01-04 01:00:00,,22985.0,23005.0
2022-01-04 02:00:00,,21880.0,21843.0
2022-01-04 03:00:00,,21345.0,21309.0
2022-01-04 04:00:00,,21264.0,21213.0
2022-01-04 05:00:00,,21935.0,21866.0
2022-01-04 06:00:00,,24068.0,23926.0
2022-01-04 07:00:00,,26973.0,26836.0
2022-01-04 08:00:00,,28993.0,28898.0
2022-01-04 09:00:00,,30459.0,30404.0
2022-01-04 10:00:00,,31305.0,31247.0
2022-01-04 11:00:00,,31355.0,31044.0
2022-01-04 12:00:00,,31292.0,30966.0
2022-01-04 13:00:00,,31527.0,31050.0
2022-01-04 14:00:00,,31273.0,30572.0
2022-01-04 15:00:00,,30405.0,29652.0
2022-01-04 16:00:00,,30188.0,29247.0
2022-01-04 17:00:00,,30488.0,29665.0
2022-01-04 18:00:00,,31590.0,31295.0
2022-01-04 19:00:00,,32085.0,31976.0
2022-01-04 20:00:00,,32753.0,32465.0
2022-01-04 21:00:00,,32032.0,31905.0
2022-01-04 22:00:00,,29607.0,29389.0
2022-01-04 23:00:00,,26964.0,26624.0
2022-01-05 00:00:00,,25526.0,25152.0
2022-01-05 01:00:00,,23719.0,23274.0
2022-01-05 02:00:00,,22560.0,22167.0
2022-01-05 03:00:00,,22015.0,21554.0
2022-01-05 04:00:00,,21928.0,21484.0
2022-01-05 05:00:00,,22317.0,22051.0
2022-01-05 06:00:00,,24279.0,23984.0
2022-01-05 07:00:00,,27094.0,26735.0
2022-01-05 08:00:00,,29198.0,28752.0
2022-01-05 09:00:00,,30892.0,30491.0
2022-01-05 10:00:00,,31720.0,31565.0
2022-01-05 11:00:00,,31813.0,31684.0
2022-01-05 12:00:00,,31696.0,31531.0
2022-01-05 13:00:00,,31771.0,31675.0
2022-01-05 14:00:00,,31128.0,31010.0
2022-01-05 15:00:00,,30129.0,30003.0
2022-01-05 16:00:00,,29775.0,29559.0
2022-01-05 17:00:00,,29788.0,29585.0
2022-01-05 18:00:00,,30554.0,30345.0
2022-01-05 19:00:00,,30805.0,30281.0
2022-01-05 20:00:00,,31001.0,30531.0
2022-01-05 21:00:00,,30267.0,30130.0
2022-01-05 22:00:00,,28127.0,28315.0
2022-01-05 23:00:00,,26065.0,26426.0
2022-01-06 00:00:00,,24523.0,25403.0
2022-01-06 01:00:00,,22677.0,23591.0
2022-01-06 02:00:00,,21284.0,22190.0
2022-01-06 03:00:00,,20486.0,20866.0
2022-01-06 04:00:00,,20148.0,20486.0
2022-01-06 05:00:00,,20108.0,20423.0
2022-01-06 06:00:00,,20607.0,20849.0
2022-01-06 07:00:00,,21292.0,21368.0
2022-01-06 08:00:00,,21817.0,21200.0
2022-01-06 09:00:00,,23300.0,22704.0
2022-01-06 10:00:00,,24752.0,24201.0
2022-01-06 11:00:00,,25040.0,24643.0
2022-01-06 12:00:00,,24856.0,24962.0
2022-01-06 13:00:00,,25111.0,25237.0
2022-01-06 14:00:00,,25319.0,25520.0
2022-01-06 15:00:00,,24387.0,24150.0
2022-01-06 16:00:00,,23876.0,23706.0
2022-01-06 17:00:00,,24388.0,24162.0
2022-01-06 18:00:00,,26611.0,26291.0
2022-01-06 19:00:00,,27957.0,27632.0
2022-01-06 20:00:00,,28840.0,28809.0
2022-01-06 21:00:00,,29309.0,29237.0
2022-01-06 22:00:00,,28079.0,28184.0
2022-01-06 23:00:00,,25915.0,26158.0
2022-01-07 00:00:00,,24213.0,23483.0
2022-01-07 01:00:00,,22480.0,21647.0
2022-01-07 02:00:00,,21292.0,20478.0
2022-01-07 03:00:00,,20706.0,20029.0
2022-01-07 04:00:00,,20647.0,19881.0
2022-01-07 05:00:00,,21258.0,20417.0
2022-01-07 06:00:00,,23127.0,22162.0
2022-01-07 07:00:00,,25767.0,24549.0
2022-01-07 08:00:00,,27778.0,27250.0
2022-01-07 09:00:00,,29656.0,29734.0
2022-01-07 10:00:00,,30690.0,31288.0
2022-01-07 11:00:00,,30521.0,31234.0
2022-01-07 12:00:00,,30194.0,31169.0
2022-01-07 13:00:00,,30397.0,31297.0
2022-01-07 14:00:00,,30357.0,31111.0
2022-01-07 15:00:00,,29521.0,30242.0
2022-01-07 16:00:00,,29212.0,29764.0
2022-01-07 17:00:00,,29408.0,30089.0
2022-01-07 18:00:00,,31271.0,31751.0
2022-01-07 19:00:00,,32420.0,32335.0
2022-01-07 20:00:00,,33087.0,32549.0
2022-01-07 21:00:00,,32597.0,32162.0
2022-01-07 22:00:00,,30299.0,29653.0
2022-01-07 23:00:00,,27675.0,26845.0
2022-01-08 00:00:00,,25942.0,26026.0
2022-01-08 01:00:00,,23912.0,24129.0
2022-01-08 02:00:00,,22497.0,22668.0
2022-01-08 03:00:00,,21849.0,21821.0
2022-01-08 04:00:00,,21542.0,21477.0
2022-01-08 05:00:00,,21638.0,21571.0
2022-01-08 06:00:00,,22356.0,22150.0
2022-01-08 07:00:00,,23603.0,23343.0
2022-01-08 08:00:00,,24867.0,24969.0
2022-01-08 09:00:00,,26939.0,27394.0
2022-01-08 10:00:00,,28682.0,29243.0
2022-01-08 11:00:00,,28988.0,29103.0
2022-01-08 12:00:00,,29002.0,29123.0
2022-01-08 13:00:00,,29376.0,29094.0
2022-01-08 14:00:00,,29475.0,29003.0
2022-01-08 15:00:00,,28464.0,28083.0
2022-01-08 16:00:00,,27669.0,27356.0
