datetime,Area,Actual Total Load (MW),Day-ahead Total Load Forecast (MW)
2024-01-01 00:00:00,,22047.0,21854.5
2024-01-01 01:00:00,,21378.0,21506.75
2024-01-01 02:00:00,,20286.0,19970.75
2024-01-01 03:00:00,,19074.0,18870.75
2024-01-01 04:00:00,,18261.0,18095.25
2024-01-01 05:00:00,,17899.0,17845.0
2024-01-01 06:00:00,,17992.0,18241.75
2024-01-01 07:00:00,,18363.0,18669.5
2024-01-01 08:00:00,,18477.0,18731.0
2024-01-01 09:00:00,,18596.0,19236.0
2024-01-01 10:00:00,,19548.0,20007.0
2024-01-01 11:00:00,,20895.0,20699.25
2024-01-01 12:00:00,,21173.0,21041.25
2024-01-01 13:00:00,,21283.0,21663.75
2024-01-01 14:00:00,,21549.0,22280.25
2024-01-01 15:00:00,,20842.0,21584.25
2024-01-01 16:00:00,,20762.0,21452.75
2024-01-01 17:00:00,,21844.0,22512.75
2024-01-01 18:00:00,,24291.0,24732.0
2024-01-01 19:00:00,,25962.0,26064.0
2024-01-01 20:00:00,,26984.0,27230.0
2024-01-01 21:00:00,,27543.0,27236.0
2024-01-01 22:00:00,,26266.0,25977.25
2024-01-01 23:00:00,,24043.0,23593.0
2024-01-02 00:00:00,,21831.0,21323.5
2024-01-02 01:00:00,,20025.0,19581.75
2024-01-02 02:00:00,,18892.0,18468.0
2024-01-02 03:00:00,,18388.0,17992.25
2024-01-02 04:00:00,,18296.0,17871.75
2024-01-02 05:00:00,,18775.0,18725.25
2024-01-02 06:00:00,,20973.0,21641.0
2024-01-02 07:00:00,,24568.0,25417.5
2024-01-02 08:00:00,,27605.0,28265.5
2024-01-02 09:00:00,,29481.0,30022.25
2024-01-02 10:00:00,,30523.0,30642.5
2024-01-02 11:00:00,,30410.0,30442.0
2024-01-02 12:00:00,,30355.0,29959.0
2024-01-02 13:00:00,,30734.0,29868.0
2024-01-02 14:00:00,,31011.0,29545.5
2024-01-02 15:00:00,,30645.0,29305.25
2024-01-02 16:00:00,,30439.0,29588.25
2024-01-02 17:00:00,,30823.0,30992.25
2024-01-02 18:00:00,,32179.0,32571.25
2024-01-02 19:00:00,,32814.0,32836.25
2024-01-02 20:00:00,,33240.0,33188.0
2024-01-02 21:00:00,,33234.0,32717.5
2024-01-02 22:00:00,,30688.0,30035.5
2024-01-02 23:00:00,,27597.0,27036.25
2024-01-03 00:00:00,,25166.0,24773.75
2024-01-03 01:00:00,,23231.0,22991.0
2024-01-03 02:00:00,,21832.0,22073.75
2024-01-03 03:00:00,,21187.0,21221.0
2024-01-03 04:00:00,,20911.0,21308.25
2024-01-03 05:00:00,,21300.0,21862.25
2024-01-03 06:00:00,,23120.0,24072.25
2024-01-03 07:00:00,,26198.0,27690.5
2024-01-03 08:00:00,,28981.0,30414.0
2024-01-03 09:00:00,,30744.0,31544.0
2024-01-03 10:00:00,,31568.0,31745.75
2024-01-03 11:00:00,,31355.0,31219.25
