Time_Interval,Country_Area,Total_Generation
01/01/2024 00:00:00 - 01/01/2024 00:15:00,Spain (ES),23024
01/01/2024 00:15:00 - 01/01/2024 00:30:00,Spain (ES),22352
01/01/2024 00:30:00 - 01/01/2024 00:45:00,Spain (ES),22152
01/01/2024 00:45:00 - 01/01/2024 01:00:00,Spain (ES),22004
01/01/2024 01:00:00 - 01/01/2024 01:15:00,Spain (ES),21800
01/01/2024 01:15:00 - 01/01/2024 01:30:00,Spain (ES),21920
01/01/2024 01:30:00 - 01/01/2024 01:45:00,Spain (ES),21852
01/01/2024 01:45:00 - 01/01/2024 02:00:00,Spain (ES),21612
01/01/2024 02:00:00 - 01/01/2024 02:15:00,Spain (ES),21228
01/01/2024 02:15:00 - 01/01/2024 02:30:00,Spain (ES),21696
01/01/2024 02:30:00 - 01/01/2024 02:45:00,Spain (ES),21844
01/01/2024 02:45:00 - 01/01/2024 03:00:00,Spain (ES),21692
01/01/2024 03:00:00 - 01/01/2024 03:15:00,Spain (ES),21416
01/01/2024 03:15:00 - 01/01/2024 03:30:00,Spain (ES),21052
01/01/2024 03:30:00 - 01/01/2024 03:45:00,Spain (ES),20996
01/01/2024 03:45:00 - 01/01/2024 04:00:00,Spain (ES),20748
01/01/2024 04:00:00 - 01/01/2024 04:15:00,Spain (ES),20232
01/01/2024 04:15:00 - 01/01/2024 04:30:00,Spain (ES),20412
01/01/2024 04:30:00 - 01/01/2024 04:45:00,Spain (ES),20580
01/01/2024 04:45:00 - 01/01/2024 05:00:00,Spain (ES),20556
01/01/2024 05:00:00 - 01/01/2024 05:15:00,Spain (ES),20344
01/01/2024 05:15:00 - 01/01/2024 05:30:00,Spain (ES),20384
01/01/2024 05:30:00 - 01/01/2024 05:45:00,Spain (ES),20468
01/01/2024 05:45:00 - 01/01/2024 06:00:00,Spain (ES),20464
01/01/2024 06:00:00 - 01/01/2024 06:15:00,Spain (ES),20516
01/01/2024 06:15:00 - 01/01/2024 06:30:00,Spain (ES),20456
01/01/2024 06:30:00 - 01/01/2024 06:45:00,Spain (ES),20496
01/01/2024 06:45:00 - 01/01/2024 07:00:00,Spain (ES),20540
01/01/2024 07:00:00 - 01/01/2024 07:15:00,Spain (ES),20796
01/01/2024 07:15:00 - 01/01/2024 07:30:00,Spain (ES),20908
01/01/2024 07:30:00 - 01/01/2024 07:45:00,Spain (ES),21052
01/01/2024 07:45:00 - 01/01/2024 08:00:00,Spain (ES),20932
01/01/2024 08:00:00 - 01/01/2024 08:15:00,Spain (ES),20940
01/01/2024 08:15:00 - 01/01/2024 08:30:00,Spain (ES),20876
01/01/2024 08:30:00 - 01/01/2024 08:45:00,Spain (ES),20800
01/01/2024 08:45:00 - 01/01/2024 09:00:00,Spain (ES),20716
01/01/2024 09:00:00 - 01/01/2024 09:15:00,Spain (ES),21148
01/01/2024 09:15:00 - 01/01/2024 09:30:00,Spain (ES),21672
01/01/2024 09:30:00 - 01/01/2024 09:45:00,Spain (ES),22188
01/01/2024 09:45:00 - 01/01/2024 10:00:00,Spain (ES),22660
01/01/2024 10:00:00 - 01/01/2024 10:15:00,Spain (ES),22808
01/01/2024 10:15:00 - 01/01/2024 10:30:00,Spain (ES),22928
01/01/2024 10:30:00 - 01/01/2024 10:45:00,Spain (ES),23552
01/01/2024 10:45:00 - 01/01/2024 11:00:00,Spain (ES),24528
01/01/2024 11:00:00 - 01/01/2024 11:15:00,Spain (ES),24768
01/01/2024 11:15:00 - 01/01/2024 11:30:00,Spain (ES),25652
01/01/2024 11:30:00 - 01/01/2024 11:45:00,Spain (ES),26544
01/01/2024 11:45:00 - 01/01/2024 12:00:00,Spain (ES),26844
01/01/2024 12:00:00 - 01/01/2024 12:15:00,Spain (ES),26880
01/01/2024 12:15:00 - 01/01/2024 12:30:00,Spain (ES),28288
01/01/2024 12:30:00 - 01/01/2024 12:45:00,Spain (ES),28504
01/01/2024 12:45:00 - 01/01/2024 13:00:00,Spain (ES),28656
01/01/2024 13:00:00 - 01/01/2024 13:15:00,Spain (ES),28716
01/01/2024 13:15:00 - 01/01/2024 13:30:00,Spain (ES),28864
01/01/2024 13:30:00 - 01/01/2024 13:45:00,Spain (ES),28736
01/01/2024 13:45:00 - 01/01/2024 14:00:00,Spain (ES),29144
01/01/2024 14:00:00 - 01/01/2024 14:15:00,Spain (ES),29552
01/01/2024 14:15:00 - 01/01/2024 14:30:00,Spain (ES),30412
01/01/2024 14:30:00 - 01/01/2024 14:45:00,Spain (ES),30532
01/01/2024 14:45:00 - 01/01/2024 15:00:00,Spain (ES),30644
01/01/2024 15:00:00 - 01/01/2024 15:15:00,Spain (ES),30556
01/01/2024 15:15:00 - 01/01/2024 15:30:00,Spain (ES),31572
01/01/2024 15:30:00 - 01/01/2024 15:45:00,Spain (ES),31872
01/01/2024 15:45:00 - 01/01/2024 16:00:00,Spain (ES),31260
01/01/2024 16:00:00 - 01/01/2024 16:15:00,Spain (ES),30624
01/01/2024 16:15:00 - 01/01/2024 16:30:00,Spain (ES),28988
01/01/2024 16:30:00 - 01/01/2024 16:45:00,Spain (ES),27984
01/01/2024 16:45:00 - 01/01/2024 17:00:00,Spain (ES),28136
01/01/2024 17:00:00 - 01/01/2024 17:15:00,Spain (ES),27424
01/01/2024 17:15:00 - 01/01/2024 17:30:00,Spain (ES),25624
01/01/2024 17:30:00 - 01/01/2024 17:45:00,Spain (ES),25176
01/01/2024 17:45:00 - 01/01/2024 18:00:00,Spain (ES),24876
01/01/2024 18:00:00 - 01/01/2024 18:15:00,Spain (ES),24860
01/01/2024 18:15:00 - 01/01/2024 18:30:00,Spain (ES),24252
01/01/2024 18:30:00 - 01/01/2024 18:45:00,Spain (ES),24948
01/01/2024 18:45:00 - 01/01/2024 19:00:00,Spain (ES),25440
01/01/2024 19:00:00 - 01/01/2024 19:15:00,Spain (ES),25696
01/01/2024 19:15:00 - 01/01/2024 19:30:00,Spain (ES),25880
01/01/2024 19:30:00 - 01/01/2024 19:45:00,Spain (ES),26056
01/01/2024 19:45:00 - 01/01/2024 20:00:00,Spain (ES),26260
01/01/2024 20:00:00 - 01/01/2024 20:15:00,Spain (ES),26552
01/01/2024 20:15:00 - 01/01/2024 20:30:00,Spain (ES),26588
01/01/2024 20:30:00 - 01/01/2024 20:45:00,Spain (ES),26592
01/01/2024 20:45:00 - 01/01/2024 21:00:00,Spain (ES),26604
01/01/2024 21:00:00 - 01/01/2024 21:15:00,Spain (ES),26816
01/01/2024 21:15:00 - 01/01/2024 21:30:00,Spain (ES),26976
01/01/2024 21:30:00 - 01/01/2024 21:45:00,Spain (ES),26912
01/01/2024 21:45:00 - 01/01/2024 22:00:00,Spain (ES),26676
01/01/2024 22:00:00 - 01/01/2024 22:15:00,Spain (ES),26168
01/01/2024 22:15:00 - 01/01/2024 22:30:00,Spain (ES),25968
01/01/2024 22:30:00 - 01/01/2024 22:45:00,Spain (ES),25340
01/01/2024 22:45:00 - 01/01/2024 23:00:00,Spain (ES),24980
01/01/2024 23:00:00 - 01/01/2024 23:15:00,Spain (ES),24680
01/01/2024 23:15:00 - 01/01/2024 23:30:00,Spain (ES),24988
01/01/2024 23:30:00 - 01/01/2024 23:45:00,Spain (ES),24784
01/01/2024 23:45:00 - 02/01/2024 00:00:00,Spain (ES),24132
01/02/2024 00:00:00 - 01/02/2024 00:15:00,Spain (ES),23672
01/02/2024 00:15:00 - 01/02/2024 00:30:00,Spain (ES),23988
01/02/2024 00:30:00 - 01/02/2024 00:45:00,Spain (ES),23920
01/02/2024 00:45:00 - 01/02/2024 01:00:00,Spain (ES),23636
01/02/2024 01:00:00 - 01/02/2024 01:15:00,Spain (ES),23156
01/02/2024 01:15:00 - 01/02/2024 01:30:00,Spain (ES),23692
