"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 00:15","Spain (ES)","22460.00","21981.00"
"01/01/2024 00:15 - 01/01/2024 00:30","Spain (ES)","22060.00","21863.00"
"01/01/2024 00:30 - 01/01/2024 00:45","Spain (ES)","21880.00","21807.00"
"01/01/2024 00:45 - 01/01/2024 01:00","Spain (ES)","21788.00","21767.00"
"01/01/2024 01:00 - 01/01/2024 01:15","Spain (ES)","21648.00","21890.00"
"01/01/2024 01:15 - 01/01/2024 01:30","Spain (ES)","21508.00","21715.00"
"01/01/2024 01:30 - 01/01/2024 01:45","Spain (ES)","21312.00","21410.00"
"01/01/2024 01:45 - 01/01/2024 02:00","Spain (ES)","21044.00","21012.00"
"01/01/2024 02:00 - 01/01/2024 02:15","Spain (ES)","20748.00","20525.00"
"01/01/2024 02:15 - 01/01/2024 02:30","Spain (ES)","20416.00","20113.00"
"01/01/2024 02:30 - 01/01/2024 02:45","Spain (ES)","20144.00","19766.00"
"01/01/2024 02:45 - 01/01/2024 03:00","Spain (ES)","19836.00","19479.00"
"01/01/2024 03:00 - 01/01/2024 03:15","Spain (ES)","19520.00","19202.00"
"01/01/2024 03:15 - 01/01/2024 03:30","Spain (ES)","19192.00","18976.00"
"01/01/2024 03:30 - 01/01/2024 03:45","Spain (ES)","18900.00","18757.00"
"01/01/2024 03:45 - 01/01/2024 04:00","Spain (ES)","18684.00","18548.00"
"01/01/2024 04:00 - 01/01/2024 04:15","Spain (ES)","18500.00","18301.00"
"01/01/2024 04:15 - 01/01/2024 04:30","Spain (ES)","18336.00","18140.00"
"01/01/2024 04:30 - 01/01/2024 04:45","Spain (ES)","18172.00","18013.00"
"01/01/2024 04:45 - 01/01/2024 05:00","Spain (ES)","18036.00","17927.00"
"01/01/2024 05:00 - 01/01/2024 05:15","Spain (ES)","17908.00","17792.00"
"01/01/2024 05:15 - 01/01/2024 05:30","Spain (ES)","17948.00","17797.00"
"01/01/2024 05:30 - 01/01/2024 05:45","Spain (ES)","17888.00","17850.00"
"01/01/2024 05:45 - 01/01/2024 06:00","Spain (ES)","17852.00","17941.00"
"01/01/2024 06:00 - 01/01/2024 06:15","Spain (ES)","17824.00","18044.00"
"01/01/2024 06:15 - 01/01/2024 06:30","Spain (ES)","17988.00","18177.00"
"01/01/2024 06:30 - 01/01/2024 06:45","Spain (ES)","18048.00","18311.00"
"01/01/2024 06:45 - 01/01/2024 07:00","Spain (ES)","18108.00","18435.00"
"01/01/2024 07:00 - 01/01/2024 07:15","Spain (ES)","18176.00","18606.00"
"01/01/2024 07:15 - 01/01/2024 07:30","Spain (ES)","18344.00","18673.00"
"01/01/2024 07:30 - 01/01/2024 07:45","Spain (ES)","18420.00","18698.00"
"01/01/2024 07:45 - 01/01/2024 08:00","Spain (ES)","18512.00","18701.00"
"01/01/2024 08:00 - 01/01/2024 08:15","Spain (ES)","18552.00","18643.00"
"01/01/2024 08:15 - 01/01/2024 08:30","Spain (ES)","18548.00","18672.00"
"01/01/2024 08:30 - 01/01/2024 08:45","Spain (ES)","18464.00","18747.00"
"01/01/2024 08:45 - 01/01/2024 09:00","Spain (ES)","18344.00","18862.00"
"01/01/2024 09:00 - 01/01/2024 09:15","Spain (ES)","18312.00","18972.00"
"01/01/2024 09:15 - 01/01/2024 09:30","Spain (ES)","18504.00","19140.00"
"01/01/2024 09:30 - 01/01/2024 09:45","Spain (ES)","18712.00","19321.00"
"01/01/2024 09:45 - 01/01/2024 10:00","Spain (ES)","18856.00","19511.00"
"01/01/2024 10:00 - 01/01/2024 10:15","Spain (ES)","19028.00","19712.00"
"01/01/2024 10:15 - 01/01/2024 10:30","Spain (ES)","19220.00","19911.00"
"01/01/2024 10:30 - 01/01/2024 10:45","Spain (ES)","19572.00","20109.00"
"01/01/2024 10:45 - 01/01/2024 11:00","Spain (ES)","20372.00","20296.00"
"01/01/2024 11:00 - 01/01/2024 11:15","Spain (ES)","20640.00","20525.00"
"01/01/2024 11:15 - 01/01/2024 11:30","Spain (ES)","20820.00","20663.00"
