Time_Interval,Biomass,Fossil_Hard_coal,Waste,Hydro_Run-of-river_and_poundage,Nuclear,Hydro_Pumped_Storage,Hydro_Water_Reservoir,Fossil_Gas,Solar
2024/1/1 0:00,988,1120,972,4036,28384,4916,8952,17748,112
2024/1/1 1:00,940,1100,988,3856,28384,3436,8044,17324,112
2024/1/1 2:00,884,1088,988,3760,28384,3776,7584,17304,112
2024/1/1 3:00,856,1088,972,3684,28384,3168,6744,17908,112
2024/1/1 4:00,876,1088,984,3612,28384,1508,6160,17752,112
2024/1/1 5:00,848,1088,992,3520,28368,1564,5372,18740,112
2024/1/1 6:00,856,1088,984,3440,28368,2132,5212,18544,112
2024/1/1 7:00,868,1088,972,3396,28368,2036,6732,18224,112
2024/1/1 8:00,844,1088,976,3376,28368,904,6816,18000,136
2024/1/1 9:00,864,1088,976,3436,28368,492,6584,19468,2628
2024/1/1 10:00,848,1088,964,3308,28368,300,5564,15992,13832
2024/1/1 11:00,836,1088,972,3232,28368,0,5580,13116,27668
2024/1/1 12:00,836,1084,964,3100,28368,0,4912,12036,35520
2024/1/1 13:00,856,1040,964,3048,28368,0,4668,11440,39044
2024/1/1 14:00,836,1040,964,3156,28368,0,5632,12412,41368
2024/1/1 15:00,840,1028,968,3180,28368,0,5732,12548,43548
2024/1/1 16:00,832,1008,976,3144,28368,0,5408,12164,34032
2024/1/1 17:00,856,1008,972,3400,28368,2136,6916,15816,14076
2024/1/1 18:00,908,1008,984,3576,28364,6824,8856,14628,1672
2024/1/1 19:00,948,1008,976,3900,28360,9132,10388,12652,480
2024/1/1 20:00,928,1008,980,4012,28352,9524,11916,11996,348
2024/1/1 21:00,936,1008,980,4048,28352,10604,12380,12868,272
2024/1/1 22:00,920,1008,976,3896,28352,8964,10968,11844,240
2024/1/1 23:00,868,1008,980,3640,28360,7084,7236,12484,236
2024/1/2 0:00,868,1008,964,3252,28368,1564,5488,13416,240
2024/1/2 1:00,876,1008,968,3168,28360,332,5316,14020,236
2024/1/2 2:00,912,1008,976,3200,28352,208,4932,15124,112
2024/1/2 3:00,960,1008,976,3028,28352,208,4700,14220,112
2024/1/2 4:00,964,1008,960,3068,28352,208,4744,14064,112
2024/1/2 5:00,964,1032,960,3136,28348,208,4804,15132,112
2024/1/2 6:00,1012,1088,960,3132,28352,212,4912,15392,112
2024/1/2 7:00,996,1088,972,3376,28348,1784,6556,16060,112
2024/1/2 8:00,1000,1088,964,3356,28336,4156,7668,13964,224
2024/1/2 9:00,1020,1140,960,3520,28344,5540,9352,12020,5020
2024/1/2 10:00,996,1168,944,3372,28360,3000,9264,9672,19088
2024/1/2 11:00,1048,1212,932,3484,28368,2688,8928,9868,26760
2024/1/2 12:00,1096,1216,944,3396,28364,2392,8452,10988,29148
2024/1/2 13:00,1072,1316,960,3300,28352,2600,8096,10400,28756
2024/1/2 14:00,1096,1248,948,3564,28352,2704,7832,10868,27700
2024/1/2 15:00,1080,1248,952,3580,28352,1596,7492,9864,27488
2024/1/2 16:00,1024,1248,940,3632,28352,3744,8276,10476,19880
2024/1/2 17:00,1068,1248,928,3712,28344,6088,10480,13776,8040
2024/1/2 18:00,1100,1248,928,4028,28352,7976,13168,15584,964
2024/1/2 19:00,1124,1252,932,4168,28352,8764,13568,14660,288
2024/1/2 20:00,1112,1280,924,4288,28352,6884,12520,13744,208
2024/1/2 21:00,1132,1248,920,4244,28352,7000,13340,14420,112
2024/1/2 22:00,1096,1228,928,4088,28352,5032,11228,13000,36
2024/1/2 23:00,1012,1204,928,3804,28368,1752,7992,11356,32
2024/1/3 0:00,1008,1224,916,3724,28360,388,7256,11284,32
2024/1/3 1:00,1052,1200,916,3692,28352,252,5604,10716,32
2024/1/3 2:00,1064,1180,916,3656,28360,208,5176,10444,32
2024/1/3 3:00,1024,1172,900,3588,28356,208,4428,10128,32
2024/1/3 4:00,1040,1188,892,3580,28344,208,4528,10092,32
2024/1/3 5:00,1028,1216,880,3492,28332,208,4948,10208,32
2024/1/3 6:00,1044,1288,860,3552,28316,216,5952,11288,28
2024/1/3 7:00,1084,1264,864,3568,28320,764,7460,12116,16
2024/1/3 8:00,1144,1248,860,3588,28324,1804,9144,10908,76
2024/1/3 9:00,1172,1308,860,3768,28304,4048,11724,11376,3048
2024/1/3 10:00,1124,1380,848,3652,28272,4616,11148,10272,11280
2024/1/3 11:00,1164,1584,868,3852,28268,3288,9880,9340,18316
2024/1/3 12:00,1180,1652,860,3884,28312,1680,8624,9188,22788
2024/1/3 13:00,1196,1616,872,4024,28364,2236,10088,10160,24740
2024/1/3 14:00,1220,1560,876,4052,28360,3648,11248,11592,21636
2024/1/3 15:00,1192,1492,888,4044,28352,3636,11352,13672,18512
2024/1/3 16:00,1144,1428,892,4056,28352,3324,11296,17844,12204
2024/1/3 17:00,1200,1364,892,4328,28352,5120,13036,22936,4880
